order_id,payment_method,order_date,price,employee_id
1,stu_card,2023-04-08T20:19:10,8.3,51
2,debit,2023-08-30T11:15:04,64.7,64
3,stu_card,2023-11-07T18:57:36,67.7,1
4,credit,2023-08-28T14:34:26,15.2,13
5,debit,2023-08-19T19:52:14,41.9,23
6,debit,2023-04-27T12:22:25,48.3,51
7,credit,2023-08-01T20:14:35,42.9,30
8,debit,2023-08-18T16:21:50,39.3,3
9,debit,2023-05-21T15:06:49,53.5,23
10,credit,2023-11-11T16:37:20,24.8,40
11,credit,2023-05-08T14:02:38,12.7,12
12,stu_card,2023-03-08T11:12:44,31.0,55
13,credit,2023-09-08T13:20:15,31.1,24
14,stu_card,2023-05-29T20:58:07,57.2,24
15,stu_card,2023-04-12T19:34:57,61.6,14
16,stu_card,2023-01-04T12:08:37,66.3,15
17,cash,2023-04-25T15:05:59,28.1,30
18,credit,2023-07-26T14:12:55,46.7,3
19,credit,2023-11-22T12:46:41,49.4,32
20,debit,2023-10-11T12:45:54,38.3,44
21,cash,2023-08-10T11:44:22,73.2,23
22,credit,2023-01-14T15:41:50,46.5,38
23,cash,2023-11-02T20:11:57,58.6,17
24,credit,2023-07-07T12:28:07,46.9,63
25,stu_card,2023-04-05T10:54:12,4.4,39
26,debit,2023-01-20T20:27:22,63.8,55
27,debit,2023-02-06T20:21:11,15.7,47
28,stu_card,2023-09-01T18:39:17,15.2,1
29,debit,2023-07-18T19:25:33,52.0,16
30,debit,2023-07-12T13:12:40,22.7,42
31,credit,2023-03-08T18:56:59,80.7,33
32,cash,2023-11-07T18:52:43,53.4,33
33,stu_card,2023-07-04T16:58:25,53.9,43
34,cash,2023-09-18T19:19:52,57.4,27
35,cash,2023-10-06T20:56:53,26.8,34
36,stu_card,2023-02-12T12:58:38,18.2,21
37,cash,2023-01-30T14:15:49,76.0,12
38,debit,2023-01-15T18:25:18,38.6,12
39,debit,2023-01-21T16:29:10,42.5,45
40,credit,2023-07-27T10:45:53,40.7,24
41,credit,2023-12-25T13:38:26,61.7,49
42,credit,2023-06-30T17:08:05,47.9,63
43,stu_card,2023-09-30T13:37:35,26.2,34
44,debit,2023-03-31T17:34:58,35.0,55
45,cash,2023-02-11T11:20:36,22.0,8
46,credit,2023-10-11T19:44:16,59.3,64
47,debit,2023-10-12T17:44:45,62.1,52
48,stu_card,2023-11-19T14:47:29,24.4,27
49,stu_card,2023-03-05T12:40:28,5.4,45
50,cash,2023-01-02T15:59:32,61.0,30
51,credit,2023-05-14T15:02:49,40.9,42
52,credit,2023-01-22T19:55:00,3.0,63
53,credit,2023-09-11T16:57:40,5.2,54
54,credit,2023-11-26T18:46:26,26.5,24
55,debit,2023-11-07T18:32:11,55.1,13
56,credit,2023-07-16T11:43:21,15.9,18
57,cash,2023-11-04T12:43:27,12.5,5
58,credit,2023-01-26T15:42:24,62.6,50
59,cash,2023-11-14T20:57:14,51.1,26
60,cash,2023-10-17T15:52:44,25.8,6
61,cash,2023-06-24T18:50:36,47.1,54
62,credit,2023-08-30T10:45:11,29.6,32
63,cash,2023-01-12T12:33:33,52.7,43
64,credit,2023-06-28T15:48:06,47.9,35
65,debit,2023-08-19T20:01:25,47.4,24
66,stu_card,2023-01-31T12:35:04,83.8,47
67,stu_card,2023-10-22T11:15:28,50.2,4
68,credit,2023-08-17T18:29:55,55.6,27
69,stu_card,2023-09-07T16:34:24,32.1,19
70,cash,2023-02-24T18:33:05,37.8,14
71,credit,2023-08-22T18:50:24,46.5,45
72,credit,2023-02-18T11:19:26,13.9,58
73,stu_card,2023-11-28T18:20:53,22.1,32
74,stu_card,2023-10-30T12:39:53,51.4,18
75,credit,2023-08-07T15:41:27,31.0,27
76,stu_card,2023-12-04T14:34:06,54.2,16
77,cash,2023-03-19T16:31:54,11.3,40
78,debit,2023-04-30T10:16:58,40.5,39
79,credit,2023-06-22T18:13:40,5.2,14
80,stu_card,2023-04-03T13:22:54,41.8,38
81,debit,2023-02-24T13:52:56,22.6,3
82,debit,2023-01-12T17:24:43,15.7,11
83,cash,2023-05-08T13:12:24,52.7,61
84,credit,2023-08-20T16:05:20,16.9,51
85,stu_card,2023-09-29T16:24:42,11.3,45
86,credit,2023-07-16T14:05:59,40.9,24
87,stu_card,2023-02-17T20:41:12,82.7,64
88,cash,2023-08-03T14:45:09,74.5,1
89,cash,2023-12-05T16:15:29,66.2,2
90,debit,2023-07-10T17:28:38,50.1,6
91,cash,2023-07-20T19:08:51,13.4,12
92,debit,2023-06-15T17:12:10,21.1,34
93,credit,2023-09-27T19:43:02,16.5,25
94,debit,2023-06-27T10:54:48,4.4,99
95,cash,2023-11-17T14:37:36,2.7,47
96,credit,2023-05-19T20:56:04,40.4,23
97,cash,2023-12-07T15:04:48,33.0,54
98,debit,2023-11-28T18:41:38,49.6,4
99,debit,2023-01-12T17:41:51,36.7,64
100,debit,2023-11-15T20:49:04,8.5,13
101,stu_card,2023-08-12T10:33:56,47.8,51
102,credit,2023-04-26T15:14:14,41.9,37
103,cash,2023-02-17T20:41:18,44.9,10
104,credit,2023-05-08T15:05:27,67.7,20
105,debit,2023-03-18T19:02:21,43.1,15
106,debit,2023-04-30T11:06:24,11.2,23
107,cash,2023-03-23T15:37:17,30.6,58
108,stu_card,2023-11-14T14:05:31,31.3,43
109,credit,2023-09-07T13:37:18,27.0,40
110,cash,2023-01-15T16:25:19,42.6,29
111,debit,2023-07-03T11:09:57,45.7,1
112,cash,2023-03-30T20:47:32,52.6,46
113,credit,2023-01-29T13:52:56,51.8,48
114,cash,2023-02-02T19:37:14,2.7,42
115,debit,2023-07-14T20:04:50,63.0,62
116,credit,2023-10-15T18:59:18,62.5,48
117,cash,2023-06-16T17:53:45,15.7,29
118,cash,2023-09-20T20:46:48,27.8,42
119,cash,2023-05-31T20:45:16,47.0,61
120,credit,2023-08-22T15:04:39,63.9,29
121,stu_card,2023-07-20T17:11:34,23.2,46
122,debit,2023-04-23T10:00:14,54.5,24
123,credit,2023-08-27T14:57:52,59.9,56
124,debit,2023-05-03T12:41:24,2.5,57
125,stu_card,2023-02-19T14:28:56,0.0,43
126,stu_card,2023-03-16T17:27:09,35.5,8
127,stu_card,2023-05-03T20:30:31,33.2,55
128,stu_card,2023-09-19T14:08:13,67.2,22
129,debit,2023-05-31T16:59:27,51.1,64
130,credit,2023-05-19T18:06:00,48.9,58
131,debit,2023-02-13T12:03:20,34.0,44
132,stu_card,2023-06-12T20:13:12,9.6,64
133,debit,2023-07-04T10:04:02,36.3,6
134,debit,2023-11-22T11:17:52,48.2,47
135,cash,2023-06-29T15:23:19,18.4,24
136,stu_card,2023-07-07T16:23:22,46.6,64
137,cash,2023-04-10T12:53:28,5.4,55
138,credit,2023-10-13T11:34:12,33.3,62
139,cash,2023-09-16T14:23:51,5.4,40
140,stu_card,2023-07-20T14:33:18,61.1,28
141,credit,2023-01-25T18:55:16,65.4,5
142,debit,2023-07-08T16:29:11,70.6,27
143,debit,2023-09-15T15:47:34,61.6,12
144,credit,2023-12-08T14:40:55,3.0,7
145,cash,2023-08-17T19:28:03,59.9,14
146,debit,2023-05-25T13:30:52,61.7,24
147,cash,2023-08-08T13:37:12,48.8,14
148,cash,2023-09-02T10:56:06,19.6,21
149,debit,2023-12-24T14:06:12,41.4,19
150,debit,2023-06-06T16:39:20,50.6,42
151,cash,2023-06-11T19:06:42,15.0,16
152,stu_card,2023-04-27T15:03:44,5.4,20
153,credit,2023-04-08T16:46:17,60.8,42
154,credit,2023-06-01T20:57:19,41.8,5
155,cash,2023-05-29T15:31:56,8.5,62
156,stu_card,2023-03-26T20:54:47,55.8,3
157,stu_card,2023-09-06T10:24:24,37.4,63
158,cash,2023-04-19T12:23:38,5.2,53
159,debit,2023-07-15T17:01:43,35.3,39
160,cash,2023-03-17T14:39:41,21.1,39
161,credit,2023-08-05T19:46:35,14.2,64
162,stu_card,2023-05-12T19:35:58,39.7,34
163,debit,2023-04-13T11:08:31,37.0,45
164,cash,2023-03-06T16:57:52,38.7,59
165,cash,2023-06-03T10:00:56,66.9,51
166,stu_card,2023-06-09T18:40:37,15.2,63
167,cash,2023-05-06T18:51:10,28.7,36
168,stu_card,2023-10-31T11:59:44,5.2,49
169,stu_card,2023-10-25T20:33:38,25.0,28
170,stu_card,2023-10-01T10:49:04,24.8,39
171,credit,2023-07-10T12:56:55,21.0,48
172,cash,2023-01-20T17:01:49,25.6,46
173,debit,2023-05-31T16:42:00,5.2,9
174,cash,2023-09-13T15:39:08,85.0,15
175,stu_card,2023-11-03T18:45:50,28.3,23
176,credit,2023-08-29T20:47:13,65.5,46
177,debit,2023-05-19T10:46:13,42.0,47
178,credit,2023-02-13T20:52:33,15.3,29
179,cash,2023-02-06T11:28:30,66.2,99
180,stu_card,2023-05-04T14:49:04,46.6,56
181,credit,2023-04-13T13:20:59,55.1,56
182,cash,2023-08-10T20:19:22,45.7,25
183,stu_card,2023-04-22T17:31:10,45.7,59
184,stu_card,2023-04-23T17:51:51,47.6,63
185,debit,2023-05-07T16:22:49,5.4,2
186,debit,2023-09-15T12:48:36,19.5,38
187,stu_card,2023-08-26T13:11:16,11.0,25
188,debit,2023-08-19T14:21:49,13.7,42
189,debit,2023-04-16T10:21:06,47.5,24
190,debit,2023-07-08T19:57:32,62.1,3
191,debit,2023-06-11T19:06:05,78.2,6
192,stu_card,2023-10-06T12:32:05,30.0,40
193,stu_card,2023-06-16T12:38:13,9.8,28
194,cash,2023-06-19T18:33:28,92.1,50
195,credit,2023-08-08T20:50:47,86.1,21
196,credit,2023-09-14T16:54:19,45.3,25
197,credit,2023-03-03T10:31:51,7.4,52
198,cash,2023-10-19T14:53:59,72.8,12
199,cash,2023-01-25T11:00:46,87.6,45
200,cash,2023-09-05T14:57:43,26.5,37
201,debit,2023-01-07T20:15:18,37.5,11
202,stu_card,2023-03-04T18:55:33,45.0,42
203,stu_card,2023-08-19T11:38:15,51.4,11
204,cash,2023-11-29T19:51:31,39.2,9
205,debit,2023-02-09T18:49:08,11.3,3
206,cash,2023-08-15T20:13:42,27.8,11
207,credit,2023-04-08T16:07:43,24.7,10
208,credit,2023-12-17T14:16:49,36.8,57
209,cash,2023-10-20T13:51:27,55.6,29
210,debit,2023-10-27T14:32:06,9.6,48
211,stu_card,2023-03-20T18:38:09,48.2,55
212,debit,2023-06-21T14:50:37,33.3,38
213,credit,2023-02-21T10:45:22,37.6,4
214,debit,2023-02-17T16:24:33,15.5,5
215,debit,2023-09-11T20:51:55,51.8,33
216,stu_card,2023-04-08T10:18:09,13.7,20
217,credit,2023-08-19T13:47:38,63.1,49
218,stu_card,2023-08-01T11:20:50,49.1,6
219,cash,2023-01-21T10:31:51,12.7,43
220,credit,2023-07-14T11:31:43,29.4,31
221,cash,2023-03-15T13:03:29,32.3,7
222,cash,2023-11-05T13:37:42,55.8,38
223,cash,2023-04-18T13:05:23,63.6,48
224,cash,2023-08-10T12:26:48,58.8,22
225,cash,2023-07-01T18:29:29,27.1,14
