option,ingredient
Chow_Mein,Cabbage
Chow_Mein,Enriched_wheat_flour
Chow_Mein,Onion
Chow_Mein,Soybean_oil
Chow_Mein,Celery
Chow_Mein,Toasted_sesame_oil
Chow_Mein,Wheat_gluten
Chow_Mein,Corn_starch
Chow_Mein,Xanthan_gum
Chow_Mein,Salt
Fried_Rice,Cooked_white_rice
Fried_Rice,Liquid_eggs
Fried_Rice,Peas
Fried_Rice,Carrot
Fried_Rice,Soybean_oil
Fried_Rice,Green_onions
Fried_Rice,Salt
Fried_Rice,Toasted_sesame_oil
Fried_Rice,Modified_food_starch
Fried_Rice,Onion_powder
Fried_Rice,Celery
White_Rice,Cooked_white_rice
Super_Greens,Cabbage
Super_Greens,Broccoli
Super_Greens,Kale
Super_Greens,Soybean_oil
Super_Greens,Salt
Orange_Chicken,Dark_meat_chicken
Orange_Chicken,Soybean_oil
Orange_Chicken,Distilled_vinegar
Orange_Chicken,Corn_starch
Orange_Chicken,Potato_starch
Orange_Chicken,Wheat_flour
Orange_Chicken,Toasted_sesame_oil
Orange_Chicken,Sugar
Black_Pepper_Steak,Sirloin_steak
Black_Pepper_Steak,Baby_broccoli
Black_Pepper_Steak,Mushrooms
Black_Pepper_Steak,Yellow_Onion
Black_Pepper_Steak,Soybean_oil
Black_Pepper_Steak,Modified_corn_starch
Black_Pepper_Steak,Black_pepper
Black_Pepper_Steak,Shao_Xing_cooking_wine
Black_Pepper_Steak,Toasted_sesame_oil
Honey_Walnut_Shrimp,Shrimp
Honey_Walnut_Shrimp,Soybean_oil
Honey_Walnut_Shrimp,Rice_flour
Honey_Walnut_Shrimp,Glazed_walnuts
Honey_Walnut_Shrimp,Potato_dextrin
Honey_Walnut_Shrimp,Bleached_wheat_flour
Honey_Walnut_Shrimp,Potato_starch
Honey_Walnut_Shrimp,Xanthan_gum
Teriyaki_Chicken,Chicken_breast_strips
Teriyaki_Chicken,Soy_sauce
Teriyaki_Chicken,Soybean_oil
Teriyaki_Chicken,Sugar
Teriyaki_Chicken,Toasted_sesame_oil
Teriyaki_Chicken,Shao_Xing_cooking_wine
Broccoli_Beef,Beef
Broccoli_Beef,Broccoli
Broccoli_Beef,Soybean_oil
Broccoli_Beef,Soy_sauce
Broccoli_Beef,Corn_starch
Broccoli_Beef,Shao_Xing_cooking_wine
Broccoli_Beef,Toasted_sesame_oil
Kung_Pao,Dark_meat_chicken
Kung_Pao,Zucchini
Kung_Pao,Red_bell_pepper
Kung_Pao,Roasted_peanuts
Kung_Pao,Soybean_oil
Kung_Pao,Green_onions
Kung_Pao,Soy_sauce
Kung_Pao,Toasted_sesame_oil
Kung_Pao,Corn_starch
Kung_Pao,Shao_Xing_cooking_wine
Honey_Sesame,Chicken_breast
Honey_Sesame,Soybean_oil
Honey_Sesame,Yellow_bell_pepper
Honey_Sesame,Sugar
Honey_Sesame,Corn_starch
Honey_Sesame,Xanthan_gum
Honey_Sesame,Lemon
Honey_Sesame,Toasted_sesame_oil
Beijing_Beef,Beef
Beijing_Beef,Egg
Beijing_Beef,Soy_sauce
Beijing_Beef,Corn_starch
Beijing_Beef,Salt
Beijing_Beef,Yellow_Onion
Beijing_Beef,Red_bell_pepper
Beijing_Beef,Soybean_oil
Beijing_Beef,Tomato_paste
Beijing_Beef,Sugar
Beijing_Beef,Distilled_vinegar
Beijing_Beef,Xanthan_gum
Mushroom_Chicken,Dark_meat_chicken
Mushroom_Chicken,Mushrooms
Mushroom_Chicken,Zucchini
Mushroom_Chicken,Soybean_oil
Mushroom_Chicken,Soy_sauce
