order_id,payment_method,order_date,price,employee_id
1,stu_card,2023-06-03T19:16:31,50.8,46
2,cash,2023-03-24T19:29:26,0.0,23
3,credit,2023-02-18T11:39:19,50.0,34
4,debit,2023-10-01T16:35:51,24.1,23
5,cash,2023-06-04T10:53:09,74.2,24
6,credit,2023-12-25T18:54:27,57.0,5
7,cash,2023-02-09T14:21:59,63.0,6
8,cash,2023-10-28T17:57:04,7.6,40
9,cash,2023-03-23T18:45:00,35.7,48
10,credit,2023-06-13T12:43:29,66.1,55
11,cash,2023-09-13T17:54:41,72.4,52
12,stu_card,2023-02-28T19:27:35,82.2,39
13,debit,2023-09-23T16:39:36,83.6,62
14,stu_card,2023-07-02T18:35:11,15.1,1
15,stu_card,2023-10-30T13:22:16,31.6,46
16,credit,2023-09-29T15:44:17,8.3,39
17,debit,2023-12-21T20:22:23,42.0,99
18,stu_card,2023-08-12T14:57:23,87.4,8
19,cash,2023-11-07T15:36:21,57.0,13
20,credit,2023-12-29T19:42:47,56.6,4
21,debit,2023-05-07T12:46:10,13.9,36
22,credit,2023-02-20T16:07:34,60.9,7
23,credit,2023-01-19T19:53:21,28.9,40
24,debit,2023-05-26T18:05:14,12.8,40
25,debit,2023-01-16T17:12:10,28.1,99
26,credit,2023-02-01T15:53:32,47.6,22
27,stu_card,2023-04-27T19:39:03,60.5,32
28,cash,2023-07-24T17:54:53,86.4,34
29,debit,2023-06-21T20:16:01,34.2,99
30,credit,2023-07-16T17:39:15,72.6,99
31,stu_card,2023-12-03T13:07:26,27.4,21
32,credit,2023-06-15T17:42:50,79.7,35
33,credit,2023-06-14T16:17:48,38.6,48
34,stu_card,2023-09-26T16:57:44,56.8,53
35,debit,2023-03-03T17:19:48,37.0,47
36,credit,2023-08-12T14:11:51,64.6,13
37,credit,2023-10-21T19:24:35,15.2,61
38,credit,2023-06-05T16:58:56,39.5,57
39,debit,2023-05-04T12:23:52,60.8,54
40,stu_card,2023-11-18T10:28:45,15.0,32
41,credit,2023-04-23T13:25:26,38.4,5
42,cash,2023-06-17T15:27:41,45.1,58
43,stu_card,2023-11-27T11:29:06,37.4,49
44,stu_card,2023-12-18T19:24:44,57.9,55
45,cash,2023-03-29T17:17:56,49.2,44
46,debit,2023-10-17T18:28:27,61.0,20
47,stu_card,2023-07-02T15:42:18,49.8,5
48,cash,2023-07-22T18:08:12,52.4,50
49,stu_card,2023-05-14T17:00:36,5.2,46
50,credit,2023-11-27T13:20:52,59.9,23
51,cash,2023-01-19T14:57:16,16.4,54
52,credit,2023-05-28T18:38:27,50.7,22
53,credit,2023-06-24T15:32:46,37.0,37
54,credit,2023-05-09T11:46:09,57.7,19
55,debit,2023-03-15T11:53:43,5.4,15
56,cash,2023-05-11T19:53:51,27.0,45
57,cash,2023-01-20T14:51:53,14.5,55
58,stu_card,2023-12-17T10:54:30,76.6,13
59,stu_card,2023-10-02T11:58:20,25.4,21
60,credit,2023-02-05T11:33:30,55.5,40
61,stu_card,2023-04-10T20:05:09,13.3,8
62,debit,2023-08-22T13:29:58,38.6,36
63,cash,2023-01-08T11:34:27,16.5,56
64,debit,2023-07-29T16:35:59,71.8,1
65,cash,2023-01-27T15:39:29,50.4,42
66,stu_card,2023-10-24T10:17:06,46.6,44
67,credit,2023-09-20T11:12:51,25.1,29
68,debit,2023-04-18T13:43:02,11.2,2
69,stu_card,2023-02-06T16:18:29,8.3,15
70,debit,2023-08-19T12:42:51,48.4,51
71,cash,2023-04-29T16:50:26,72.2,35
72,stu_card,2023-02-18T18:12:38,77.0,42
73,debit,2023-02-17T16:23:21,77.4,53
74,stu_card,2023-05-23T12:58:35,47.5,1
75,cash,2023-05-25T18:54:25,5.4,49
76,stu_card,2023-11-29T13:40:26,12.8,46
77,cash,2023-02-23T15:16:46,63.8,19
